28/06/2005 00:00:00 
16/11/2005 00:00:00 CET
17/11/2005 00:00:00 CET
18/11/2005 00:00:00 CET
21/11/2005 00:00:00 CET
22/11/2005 00:00:00 CET
23/11/2005 00:00:00 CET
24/11/2005 00:00:00 CET
25/11/2005 00:00:00 CET
28/11/2005 00:00:00 CET
29/11/2005 00:00:00 CET
30/11/2005 00:00:00 CET
01/12/2005 00:00:00 CET
02/12/2005 00:00:00 CET
05/12/2005 00:00:00 CET
06/12/2005 00:00:00 CET
07/12/2005 00:00:00 CET
08/12/2005 00:00:00 CET
09/12/2005 00:00:00 CET
12/12/2005 00:00:00 CET
13/12/2005 00:00:00 CET
14/12/2005 00:00:00 CET
15/12/2005 00:00:00 CET
16/12/2005 00:00:00 CET
19/12/2005 00:00:00 CET
20/12/2005 00:00:00 CET
21/12/2005 00:00:00 CET
22/12/2005 00:00:00 CET
23/12/2005 00:00:00 CET
27/12/2005 00:00:00 CET
28/12/2005 00:00:00 CET
29/12/2005 00:00:00 CET
30/12/2005 00:00:00 CET
02/01/2006 00:00:00 CET
03/01/2006 00:00:00 CET
04/01/2006 00:00:00 CET
05/01/2006 00:00:00 CET
06/01/2006 00:00:00 CET
09/01/2006 00:00:00 CET
10/01/2006 00:00:00 CET
11/01/2006 00:00:00 CET
12/01/2006 00:00:00 CET
13/01/2006 00:00:00 CET
16/01/2006 00:00:00 CET
17/01/2006 00:00:00 CET
18/01/2006 00:00:00 CET
19/01/2006 00:00:00 CET
20/01/2006 00:00:00 CET
23/01/2006 00:00:00 CET
24/01/2006 00:00:00 CET
25/01/2006 00:00:00 CET
26/01/2006 00:00:00 CET
27/01/2006 00:00:00 CET
30/01/2006 00:00:00 CET
31/01/2006 00:00:00 CET
01/02/2006 00:00:00 CET
02/02/2006 00:00:00 CET
03/02/2006 00:00:00 CET
06/02/2006 00:00:00 CET
07/02/2006 00:00:00 CET
08/02/2006 00:00:00 CET
09/02/2006 00:00:00 CET
10/02/2006 00:00:00 CET
13/02/2006 00:00:00 CET
14/02/2006 00:00:00 CET
15/02/2006 00:00:00 CET
16/02/2006 00:00:00 CET
17/02/2006 00:00:00 CET
20/02/2006 00:00:00 CET
21/02/2006 00:00:00 CET
22/02/2006 00:00:00 CET
23/02/2006 00:00:00 CET
24/02/2006 00:00:00 CET
27/02/2006 00:00:00 CET
28/02/2006 00:00:00 CET
01/03/2006 00:00:00 CET
02/03/2006 00:00:00 CET
03/03/2006 00:00:00 CET
06/03/2006 00:00:00 CET
07/03/2006 00:00:00 CET
08/03/2006 00:00:00 CET
09/03/2006 00:00:00 CET
10/03/2006 00:00:00 CET
13/03/2006 00:00:00 CET
14/03/2006 00:00:00 CET
15/03/2006 00:00:00 CET
16/03/2006 00:00:00 CET
17/03/2006 00:00:00 CET
20/03/2006 00:00:00 CET
21/03/2006 00:00:00 CET
22/03/2006 00:00:00 CET
23/03/2006 00:00:00 CET
24/03/2006 00:00:00 CET
27/03/2006 00:00:00 CEST
28/03/2006 00:00:00 CEST
29/03/2006 00:00:00 CEST
30/03/2006 00:00:00 CEST
31/03/2006 00:00:00 CEST
03/04/2006 00:00:00 CEST
04/04/2006 00:00:00 CEST
05/04/2006 00:00:00 CEST
06/04/2006 00:00:00 CEST
07/04/2006 00:00:00 CEST
10/04/2006 00:00:00 CEST
11/04/2006 00:00:00 CEST
12/04/2006 00:00:00 CEST
13/04/2006 00:00:00 CEST
14/04/2006 00:00:00 CEST
17/04/2006 00:00:00 CEST
18/04/2006 00:00:00 CEST
19/04/2006 00:00:00 CEST
20/04/2006 00:00:00 CEST
21/04/2006 00:00:00 CEST
24/04/2006 00:00:00 CEST
25/04/2006 00:00:00 CEST
26/04/2006 00:00:00 CEST
27/04/2006 00:00:00 CEST
28/04/2006 00:00:00 CEST
01/05/2006 00:00:00 CEST
02/05/2006 00:00:00 CEST
03/05/2006 00:00:00 CEST
04/05/2006 00:00:00 CEST
05/05/2006 00:00:00 CEST
08/05/2006 00:00:00 CEST
09/05/2006 00:00:00 CEST
10/05/2006 00:00:00 CEST
11/05/2006 00:00:00 CEST
12/05/2006 00:00:00 CEST
15/05/2006 00:00:00 CEST
16/05/2006 00:00:00 CEST
17/05/2006 00:00:00 CEST
18/05/2006 00:00:00 CEST
19/05/2006 00:00:00 CEST
22/05/2006 00:00:00 CEST
23/05/2006 00:00:00 CEST
24/05/2006 00:00:00 CEST
25/05/2006 00:00:00 CEST
26/05/2006 00:00:00 CEST
29/05/2006 00:00:00 CEST
30/05/2006 00:00:00 CEST
31/05/2006 00:00:00 CEST
01/06/2006 00:00:00 CEST
02/06/2006 00:00:00 CEST
05/06/2006 00:00:00 CEST
06/06/2006 00:00:00 CEST
07/06/2006 00:00:00 CEST
08/06/2006 00:00:00 CEST
09/06/2006 00:00:00 CEST
12/06/2006 00:00:00 CEST
13/06/2006 00:00:00 CEST
14/06/2006 00:00:00 CEST
15/06/2006 00:00:00 CEST
16/06/2006 00:00:00 CEST
19/06/2006 00:00:00 CEST
20/06/2006 00:00:00 CEST
21/06/2006 00:00:00 CEST
22/06/2006 00:00:00 CEST
23/06/2006 00:00:00 CEST
26/06/2006 00:00:00 CEST
27/06/2006 00:00:00 CEST
28/06/2006 00:00:00 CEST
29/06/2006 00:00:00 CEST
30/06/2006 00:00:00 CEST
03/07/2006 00:00:00 CEST
04/07/2006 00:00:00 CEST
05/07/2006 00:00:00 CEST
06/07/2006 00:00:00 CEST
07/07/2006 00:00:00 CEST
10/07/2006 00:00:00 CEST
11/07/2006 00:00:00 CEST
12/07/2006 00:00:00 CEST
13/07/2006 00:00:00 CEST
14/07/2006 00:00:00 CEST
17/07/2006 00:00:00 CEST
18/07/2006 00:00:00 CEST
19/07/2006 00:00:00 CEST
20/07/2006 00:00:00 CEST
21/07/2006 00:00:00 CEST
24/07/2006 00:00:00 CEST
25/07/2006 00:00:00 CEST
26/07/2006 00:00:00 CEST
27/07/2006 00:00:00 CEST
28/07/2006 00:00:00 CEST
31/07/2006 00:00:00 CEST
01/08/2006 00:00:00 CEST
02/08/2006 00:00:00 CEST
03/08/2006 00:00:00 CEST
04/08/2006 00:00:00 CEST
07/08/2006 00:00:00 CEST
08/08/2006 00:00:00 CEST
09/08/2006 00:00:00 CEST
10/08/2006 00:00:00 CEST
11/08/2006 00:00:00 CEST
14/08/2006 00:00:00 CEST
15/08/2006 00:00:00 CEST
16/08/2006 00:00:00 CEST
17/08/2006 00:00:00 CEST
18/08/2006 00:00:00 CEST
21/08/2006 00:00:00 CEST
22/08/2006 00:00:00 CEST
23/08/2006 00:00:00 CEST
24/08/2006 00:00:00 CEST
25/08/2006 00:00:00 CEST
28/08/2006 00:00:00 CEST
29/08/2006 00:00:00 CEST
30/08/2006 00:00:00 CEST
31/08/2006 00:00:00 CEST
01/09/2006 00:00:00 CEST
04/09/2006 00:00:00 CEST
05/09/2006 00:00:00 CEST
06/09/2006 00:00:00 CEST
07/09/2006 00:00:00 CEST
08/09/2006 00:00:00 CEST
11/09/2006 00:00:00 CEST
12/09/2006 00:00:00 CEST
13/09/2006 00:00:00 CEST
14/09/2006 00:00:00 CEST
15/09/2006 00:00:00 CEST
18/09/2006 00:00:00 CEST
19/09/2006 00:00:00 CEST
20/09/2006 00:00:00 CEST
21/09/2006 00:00:00 CEST
22/09/2006 00:00:00 CEST
25/09/2006 00:00:00 CEST
26/09/2006 00:00:00 CEST
27/09/2006 00:00:00 CEST
28/09/2006 00:00:00 CEST
29/09/2006 00:00:00 CEST
02/10/2006 00:00:00 CEST
03/10/2006 00:00:00 CEST
04/10/2006 00:00:00 CEST
05/10/2006 00:00:00 CEST
06/10/2006 00:00:00 CEST
09/10/2006 00:00:00 CEST
10/10/2006 00:00:00 CEST
11/10/2006 00:00:00 CEST
12/10/2006 00:00:00 CEST
13/10/2006 00:00:00 CEST
16/10/2006 00:00:00 CEST
17/10/2006 00:00:00 CEST
18/10/2006 00:00:00 CEST
19/10/2006 00:00:00 CEST
20/10/2006 00:00:00 CEST
23/10/2006 00:00:00 CEST
24/10/2006 00:00:00 CEST
25/10/2006 00:00:00 CEST
26/10/2006 00:00:00 CEST
27/10/2006 00:00:00 CEST
30/10/2006 00:00:00 CET
31/10/2006 00:00:00 CET
01/11/2006 00:00:00 CET
02/11/2006 00:00:00 CET
03/11/2006 00:00:00 CET
06/11/2006 00:00:00 CET
07/11/2006 00:00:00 CET
08/11/2006 00:00:00 CET
09/11/2006 00:00:00 CET
10/11/2006 00:00:00 CET
13/11/2006 00:00:00 CET
14/11/2006 00:00:00 CET
15/11/2006 00:00:00 CET
16/11/2006 00:00:00 CET
17/11/2006 00:00:00 CET
20/11/2006 00:00:00 CET
21/11/2006 00:00:00 CET
22/11/2006 00:00:00 CET
23/11/2006 00:00:00 CET
24/11/2006 00:00:00 CET
27/11/2006 00:00:00 CET
28/11/2006 00:00:00 CET
29/11/2006 00:00:00 CET
30/11/2006 00:00:00 CET
01/12/2006 00:00:00 CET
04/12/2006 00:00:00 CET
05/12/2006 00:00:00 CET
06/12/2006 00:00:00 CET
07/12/2006 00:00:00 CET
08/12/2006 00:00:00 CET
11/12/2006 00:00:00 CET
12/12/2006 00:00:00 CET
13/12/2006 00:00:00 CET
14/12/2006 00:00:00 CET
15/12/2006 00:00:00 CET
18/12/2006 00:00:00 CET
19/12/2006 00:00:00 CET
20/12/2006 00:00:00 CET
21/12/2006 00:00:00 CET
22/12/2006 00:00:00 CET
27/12/2006 00:00:00 CET
28/12/2006 00:00:00 CET
29/12/2006 00:00:00 CET
02/01/2007 00:00:00 CET
03/01/2007 00:00:00 CET
04/01/2007 00:00:00 CET
05/01/2007 00:00:00 CET
08/01/2007 00:00:00 CET
09/01/2007 00:00:00 CET
10/01/2007 00:00:00 CET
11/01/2007 00:00:00 CET
12/01/2007 00:00:00 CET
15/01/2007 00:00:00 CET
16/01/2007 00:00:00 CET
17/01/2007 00:00:00 CET
18/01/2007 00:00:00 CET
19/01/2007 00:00:00 CET
22/01/2007 00:00:00 CET
23/01/2007 00:00:00 CET
24/01/2007 00:00:00 CET
25/01/2007 00:00:00 CET
26/01/2007 00:00:00 CET
29/01/2007 00:00:00 CET
30/01/2007 00:00:00 CET
31/01/2007 00:00:00 CET
01/02/2007 00:00:00 CET
02/02/2007 00:00:00 CET
05/02/2007 00:00:00 CET
06/02/2007 00:00:00 CET
07/02/2007 00:00:00 CET
08/02/2007 00:00:00 CET
09/02/2007 00:00:00 CET
12/02/2007 00:00:00 CET
13/02/2007 00:00:00 CET
14/02/2007 00:00:00 CET
15/02/2007 00:00:00 CET
16/02/2007 00:00:00 CET
19/02/2007 00:00:00 CET
20/02/2007 00:00:00 CET
21/02/2007 00:00:00 CET
22/02/2007 00:00:00 CET
23/02/2007 00:00:00 CET
26/02/2007 00:00:00 CET
27/02/2007 00:00:00 CET
28/02/2007 00:00:00 CET
01/03/2007 00:00:00 CET
02/03/2007 00:00:00 CET
05/03/2007 00:00:00 CET
06/03/2007 00:00:00 CET
07/03/2007 00:00:00 CET
08/03/2007 00:00:00 CET
09/03/2007 00:00:00 CET
12/03/2007 00:00:00 CET
13/03/2007 00:00:00 CET
14/03/2007 00:00:00 CET
15/03/2007 00:00:00 CET
16/03/2007 00:00:00 CET
19/03/2007 00:00:00 CET
20/03/2007 00:00:00 CET
21/03/2007 00:00:00 CET
22/03/2007 00:00:00 CET
23/03/2007 00:00:00 CET
26/03/2007 00:00:00 CEST
27/03/2007 00:00:00 CEST
28/03/2007 00:00:00 CEST
29/03/2007 00:00:00 CEST
30/03/2007 00:00:00 CEST
02/04/2007 00:00:00 CEST
03/04/2007 00:00:00 CEST
04/04/2007 00:00:00 CEST
05/04/2007 00:00:00 CEST
10/04/2007 00:00:00 CEST
11/04/2007 00:00:00 CEST
12/04/2007 00:00:00 CEST
13/04/2007 00:00:00 CEST
16/04/2007 00:00:00 CEST
17/04/2007 00:00:00 CEST
18/04/2007 00:00:00 CEST
19/04/2007 00:00:00 CEST
20/04/2007 00:00:00 CEST
23/04/2007 00:00:00 CEST
24/04/2007 00:00:00 CEST
25/04/2007 00:00:00 CEST
26/04/2007 00:00:00 CEST
27/04/2007 00:00:00 CEST
30/04/2007 00:00:00 CEST
02/05/2007 00:00:00 CEST
03/05/2007 00:00:00 CEST
04/05/2007 00:00:00 CEST
07/05/2007 00:00:00 CEST
08/05/2007 00:00:00 CEST
09/05/2007 00:00:00 CEST
10/05/2007 00:00:00 CEST
11/05/2007 00:00:00 CEST
14/05/2007 00:00:00 CEST
15/05/2007 00:00:00 CEST
16/05/2007 00:00:00 CEST
17/05/2007 00:00:00 CEST
18/05/2007 00:00:00 CEST
21/05/2007 00:00:00 CEST
22/05/2007 00:00:00 CEST
23/05/2007 00:00:00 CEST
24/05/2007 00:00:00 CEST
25/05/2007 00:00:00 CEST
28/05/2007 00:00:00 CEST
29/05/2007 00:00:00 CEST
30/05/2007 00:00:00 CEST
31/05/2007 00:00:00 CEST
01/06/2007 00:00:00 CEST
04/06/2007 00:00:00 CEST
05/06/2007 00:00:00 CEST
06/06/2007 00:00:00 CEST
07/06/2007 00:00:00 CEST
08/06/2007 00:00:00 CEST
11/06/2007 00:00:00 CEST
12/06/2007 00:00:00 CEST
13/06/2007 00:00:00 CEST
14/06/2007 00:00:00 CEST
15/06/2007 00:00:00 CEST
18/06/2007 00:00:00 CEST
19/06/2007 00:00:00 CEST
20/06/2007 00:00:00 CEST
21/06/2007 00:00:00 CEST
22/06/2007 00:00:00 CEST
25/06/2007 00:00:00 CEST
26/06/2007 00:00:00 CEST
27/06/2007 00:00:00 CEST
28/06/2007 00:00:00 CEST
29/06/2007 00:00:00 CEST
02/07/2007 00:00:00 CEST
03/07/2007 00:00:00 CEST
04/07/2007 00:00:00 CEST
05/07/2007 00:00:00 CEST
06/07/2007 00:00:00 CEST
09/07/2007 00:00:00 CEST
10/07/2007 00:00:00 CEST
11/07/2007 00:00:00 CEST
12/07/2007 00:00:00 CEST
13/07/2007 00:00:00 CEST
16/07/2007 00:00:00 CEST
17/07/2007 00:00:00 CEST
18/07/2007 00:00:00 CEST
19/07/2007 00:00:00 CEST
20/07/2007 00:00:00 CEST
23/07/2007 00:00:00 CEST
24/07/2007 00:00:00 CEST
25/07/2007 00:00:00 CEST
26/07/2007 00:00:00 CEST
27/07/2007 00:00:00 CEST
30/07/2007 00:00:00 CEST
31/07/2007 00:00:00 CEST
01/08/2007 00:00:00 CEST
02/08/2007 00:00:00 CEST
03/08/2007 00:00:00 CEST
06/08/2007 00:00:00 CEST
07/08/2007 00:00:00 CEST
08/08/2007 00:00:00 CEST
09/08/2007 00:00:00 CEST
10/08/2007 00:00:00 CEST
13/08/2007 00:00:00 CEST
14/08/2007 00:00:00 CEST
15/08/2007 00:00:00 CEST
16/08/2007 00:00:00 CEST
17/08/2007 00:00:00 CEST
20/08/2007 00:00:00 CEST
21/08/2007 00:00:00 CEST
22/08/2007 00:00:00 CEST
23/08/2007 00:00:00 CEST
24/08/2007 00:00:00 CEST
27/08/2007 00:00:00 CEST
28/08/2007 00:00:00 CEST
29/08/2007 00:00:00 CEST
30/08/2007 00:00:00 CEST
31/08/2007 00:00:00 CEST
03/09/2007 00:00:00 CEST
04/09/2007 00:00:00 CEST
05/09/2007 00:00:00 CEST
06/09/2007 00:00:00 CEST
07/09/2007 00:00:00 CEST
10/09/2007 00:00:00 CEST
11/09/2007 00:00:00 CEST
12/09/2007 00:00:00 CEST
13/09/2007 00:00:00 CEST
14/09/2007 00:00:00 CEST
17/09/2007 00:00:00 CEST
18/09/2007 00:00:00 CEST
19/09/2007 00:00:00 CEST
20/09/2007 00:00:00 CEST
21/09/2007 00:00:00 CEST
24/09/2007 00:00:00 CEST
25/09/2007 00:00:00 CEST
26/09/2007 00:00:00 CEST
27/09/2007 00:00:00 CEST
28/09/2007 00:00:00 CEST
01/10/2007 00:00:00 CEST
02/10/2007 00:00:00 CEST
03/10/2007 00:00:00 CEST
04/10/2007 00:00:00 CEST
05/10/2007 00:00:00 CEST
08/10/2007 00:00:00 CEST
09/10/2007 00:00:00 CEST
10/10/2007 00:00:00 CEST
11/10/2007 00:00:00 CEST
12/10/2007 00:00:00 CEST
15/10/2007 00:00:00 CEST
16/10/2007 00:00:00 CEST
17/10/2007 00:00:00 CEST
18/10/2007 00:00:00 CEST
19/10/2007 00:00:00 CEST
22/10/2007 00:00:00 CEST
23/10/2007 00:00:00 CEST
24/10/2007 00:00:00 CEST
25/10/2007 00:00:00 CEST
26/10/2007 00:00:00 CEST
29/10/2007 00:00:00 CET
30/10/2007 00:00:00 CET
31/10/2007 00:00:00 CET
01/11/2007 00:00:00 CET
02/11/2007 00:00:00 CET
05/11/2007 00:00:00 CET
06/11/2007 00:00:00 CET
07/11/2007 00:00:00 CET
08/11/2007 00:00:00 CET
09/11/2007 00:00:00 CET
12/11/2007 00:00:00 CET
13/11/2007 00:00:00 CET
14/11/2007 00:00:00 CET
15/11/2007 00:00:00 CET
16/11/2007 00:00:00 CET
19/11/2007 00:00:00 CET
20/11/2007 00:00:00 CET
21/11/2007 00:00:00 CET
22/11/2007 00:00:00 CET
23/11/2007 00:00:00 CET
26/11/2007 00:00:00 CET
27/11/2007 00:00:00 CET
28/11/2007 00:00:00 CET
29/11/2007 00:00:00 CET
30/11/2007 00:00:00 CET
03/12/2007 00:00:00 CET
04/12/2007 00:00:00 CET
05/12/2007 00:00:00 CET
06/12/2007 00:00:00 CET
07/12/2007 00:00:00 CET
10/12/2007 00:00:00 CET
11/12/2007 00:00:00 CET
12/12/2007 00:00:00 CET
13/12/2007 00:00:00 CET
14/12/2007 00:00:00 CET
17/12/2007 00:00:00 CET
18/12/2007 00:00:00 CET
19/12/2007 00:00:00 CET
20/12/2007 00:00:00 CET
21/12/2007 00:00:00 CET
27/12/2007 00:00:00 CET
28/12/2007 00:00:00 CET
02/01/2008 00:00:00 CET
03/01/2008 00:00:00 CET
04/01/2008 00:00:00 CET
07/01/2008 00:00:00 CET
08/01/2008 00:00:00 CET
09/01/2008 00:00:00 CET
10/01/2008 00:00:00 CET
11/01/2008 00:00:00 CET
14/01/2008 00:00:00 CET
15/01/2008 00:00:00 CET
16/01/2008 00:00:00 CET
17/01/2008 00:00:00 CET
18/01/2008 00:00:00 CET
21/01/2008 00:00:00 CET
22/01/2008 00:00:00 CET
23/01/2008 00:00:00 CET
24/01/2008 00:00:00 CET
25/01/2008 00:00:00 CET
28/01/2008 00:00:00 CET
29/01/2008 00:00:00 CET
30/01/2008 00:00:00 CET
31/01/2008 00:00:00 CET
01/02/2008 00:00:00 CET
04/02/2008 00:00:00 CET
05/02/2008 00:00:00 CET
06/02/2008 00:00:00 CET
07/02/2008 00:00:00 CET
08/02/2008 00:00:00 CET
11/02/2008 00:00:00 CET
12/02/2008 00:00:00 CET
13/02/2008 00:00:00 CET
14/02/2008 00:00:00 CET
15/02/2008 00:00:00 CET
18/02/2008 00:00:00 CET
19/02/2008 00:00:00 CET
20/02/2008 00:00:00 CET
21/02/2008 00:00:00 CET
22/02/2008 00:00:00 CET
25/02/2008 00:00:00 CET
26/02/2008 00:00:00 CET
27/02/2008 00:00:00 CET
28/02/2008 00:00:00 CET
29/02/2008 00:00:00 CET
03/03/2008 00:00:00 CET
04/03/2008 00:00:00 CET
05/03/2008 00:00:00 CET
06/03/2008 00:00:00 CET
07/03/2008 00:00:00 CET
10/03/2008 00:00:00 CET
11/03/2008 00:00:00 CET
12/03/2008 00:00:00 CET
13/03/2008 00:00:00 CET
14/03/2008 00:00:00 CET
17/03/2008 00:00:00 CET
18/03/2008 00:00:00 CET
19/03/2008 00:00:00 CET
20/03/2008 00:00:00 CET
25/03/2008 00:00:00 CET
26/03/2008 00:00:00 CET
27/03/2008 00:00:00 CET
28/03/2008 00:00:00 CET
31/03/2008 00:00:00 CEST
01/04/2008 00:00:00 CEST
02/04/2008 00:00:00 CEST
03/04/2008 00:00:00 CEST
04/04/2008 00:00:00 CEST
07/04/2008 00:00:00 CEST
08/04/2008 00:00:00 CEST
09/04/2008 00:00:00 CEST
10/04/2008 00:00:00 CEST
11/04/2008 00:00:00 CEST
14/04/2008 00:00:00 CEST
15/04/2008 00:00:00 CEST
16/04/2008 00:00:00 CEST
17/04/2008 00:00:00 CEST
18/04/2008 00:00:00 CEST
21/04/2008 00:00:00 CEST
22/04/2008 00:00:00 CEST
23/04/2008 00:00:00 CEST
24/04/2008 00:00:00 CEST
25/04/2008 00:00:00 CEST
28/04/2008 00:00:00 CEST
29/04/2008 00:00:00 CEST
30/04/2008 00:00:00 CEST
01/05/2008 00:00:00 CEST
02/05/2008 00:00:00 CEST
05/05/2008 00:00:00 CEST
06/05/2008 00:00:00 CEST
07/05/2008 00:00:00 CEST
08/05/2008 00:00:00 CEST
09/05/2008 00:00:00 CEST
12/05/2008 00:00:00 CEST
13/05/2008 00:00:00 CEST
14/05/2008 00:00:00 CEST
15/05/2008 00:00:00 CEST
16/05/2008 00:00:00 CEST
19/05/2008 00:00:00 CEST
20/05/2008 00:00:00 CEST
21/05/2008 00:00:00 CEST
22/05/2008 00:00:00 CEST
23/05/2008 00:00:00 CEST
26/05/2008 00:00:00 CEST
27/05/2008 00:00:00 CEST
28/05/2008 00:00:00 CEST
29/05/2008 00:00:00 CEST
30/05/2008 00:00:00 CEST
02/06/2008 00:00:00 CEST
03/06/2008 00:00:00 CEST
04/06/2008 00:00:00 CEST
05/06/2008 00:00:00 CEST
06/06/2008 00:00:00 CEST
09/06/2008 00:00:00 CEST
10/06/2008 00:00:00 CEST
11/06/2008 00:00:00 CEST
12/06/2008 00:00:00 CEST
13/06/2008 00:00:00 CEST
16/06/2008 00:00:00 CEST
17/06/2008 00:00:00 CEST
18/06/2008 00:00:00 CEST
19/06/2008 00:00:00 CEST
20/06/2008 00:00:00 CEST
23/06/2008 00:00:00 CEST
24/06/2008 00:00:00 CEST
25/06/2008 00:00:00 CEST
26/06/2008 00:00:00 CEST
27/06/2008 00:00:00 CEST
30/06/2008 00:00:00 CEST
01/07/2008 00:00:00 CEST
02/07/2008 00:00:00 CEST
03/07/2008 00:00:00 CEST
04/07/2008 00:00:00 CEST
07/07/2008 00:00:00 CEST
08/07/2008 00:00:00 CEST
09/07/2008 00:00:00 CEST
10/07/2008 00:00:00 CEST
11/07/2008 00:00:00 CEST
14/07/2008 00:00:00 CEST
15/07/2008 00:00:00 CEST
16/07/2008 00:00:00 CEST
17/07/2008 00:00:00 CEST
18/07/2008 00:00:00 CEST
21/07/2008 00:00:00 CEST
22/07/2008 00:00:00 CEST
23/07/2008 00:00:00 CEST
24/07/2008 00:00:00 CEST
25/07/2008 00:00:00 CEST
28/07/2008 00:00:00 CEST
29/07/2008 00:00:00 CEST
30/07/2008 00:00:00 CEST
31/07/2008 00:00:00 CEST
01/08/2008 00:00:00 CEST
04/08/2008 00:00:00 CEST
05/08/2008 00:00:00 CEST
06/08/2008 00:00:00 CEST
07/08/2008 00:00:00 CEST
08/08/2008 00:00:00 CEST
11/08/2008 00:00:00 CEST
12/08/2008 00:00:00 CEST
13/08/2008 00:00:00 CEST
14/08/2008 00:00:00 CEST
15/08/2008 00:00:00 CEST
18/08/2008 00:00:00 CEST
19/08/2008 00:00:00 CEST
20/08/2008 00:00:00 CEST
21/08/2008 00:00:00 CEST
22/08/2008 00:00:00 CEST
25/08/2008 00:00:00 CEST
26/08/2008 00:00:00 CEST
27/08/2008 00:00:00 CEST
28/08/2008 00:00:00 CEST
29/08/2008 00:00:00 CEST
01/09/2008 00:00:00 CEST
02/09/2008 00:00:00 CEST
03/09/2008 00:00:00 CEST
04/09/2008 00:00:00 CEST
05/09/2008 00:00:00 CEST
08/09/2008 00:00:00 CEST
09/09/2008 00:00:00 CEST
10/09/2008 00:00:00 CEST
11/09/2008 00:00:00 CEST
12/09/2008 00:00:00 CEST
15/09/2008 00:00:00 CEST
16/09/2008 00:00:00 CEST
17/09/2008 00:00:00 CEST
18/09/2008 00:00:00 CEST
19/09/2008 00:00:00 CEST
22/09/2008 00:00:00 CEST
23/09/2008 00:00:00 CEST
24/09/2008 00:00:00 CEST
25/09/2008 00:00:00 CEST
26/09/2008 00:00:00 CEST
29/09/2008 00:00:00 CEST
30/09/2008 00:00:00 CEST
01/10/2008 00:00:00 CEST
02/10/2008 00:00:00 CEST
03/10/2008 00:00:00 CEST
06/10/2008 00:00:00 CEST
